racer_id,racer_name,race_count,win_count,top2_count,top3_count,win_rate,top2_rate,top3_rate,avg_start_timing,last_race_date
3866,木山,68,7,23,35,0.102941,0.338235,0.514706,,2026-04-28
3867,松浦,61,2,8,12,0.032787,0.131148,0.196721,,2026-04-22
3868,尾形,75,8,18,31,0.106667,0.240000,0.413333,,2026-04-27
3869,井芹,50,2,7,14,0.040000,0.140000,0.280000,,2026-05-01
3870,寺嶋,70,9,22,30,0.128571,0.314286,0.428571,,2026-05-01
3871,池田,55,7,14,24,0.127273,0.254545,0.436364,,2026-04-13
3872,岡田,65,18,31,42,0.276923,0.476923,0.646154,,2026-04-28
3873,別府,29,0,1,4,0.000000,0.034483,0.137931,,2026-02-03
3874,山本,74,19,32,45,0.256757,0.432432,0.608108,,2026-04-23
3875,廣中,75,8,18,28,0.106667,0.240000,0.373333,,2026-04-28
3876,中辻,76,24,34,44,0.315789,0.447368,0.578947,,2026-04-26
3878,胡本,47,5,11,18,0.106383,0.234043,0.382979,,2026-03-25
3880,浅見 宗孝,70,7,16,28,0.100000,0.228571,0.400000,51.0000,2026-05-03
3882,新田,76,10,19,41,0.131579,0.250000,0.539474,,2026-04-28
3885,久田,56,13,20,30,0.232143,0.357143,0.535714,,2026-04-30
3888,山本,85,13,29,45,0.152941,0.341176,0.529412,,2026-04-28
3889,須藤,69,3,15,22,0.043478,0.217391,0.318841,,2026-05-02
3891,谷口,66,4,7,17,0.060606,0.106061,0.257576,,2026-04-27
3892,草場,57,7,12,29,0.122807,0.210526,0.508772,,2026-04-20
3893,汐崎,65,8,18,30,0.123077,0.276923,0.461538,,2026-04-30
3895,堀本,36,4,8,15,0.111111,0.222222,0.416667,,2026-03-01
3896,上田,65,9,21,36,0.138462,0.323077,0.553846,,2026-04-22
3897,白井,93,24,50,66,0.258065,0.537634,0.709677,,2026-04-26
3898,平田,71,21,34,51,0.295775,0.478873,0.718310,,2026-05-01
3900,香川,84,14,35,54,0.166667,0.416667,0.642857,,2026-04-20
3901,松田,43,4,9,16,0.093023,0.209302,0.372093,,2026-04-24
3904,貴洋,53,6,16,25,0.113208,0.301887,0.471698,,2026-04-23
3905,天野,84,17,41,58,0.202381,0.488095,0.690476,,2026-04-23
3906,飯山,74,4,16,29,0.054054,0.216216,0.391892,,2026-05-01
3907,村越,83,11,27,42,0.132530,0.325301,0.506024,,2026-04-28
3908,重成,72,25,36,46,0.347222,0.500000,0.638889,,2026-04-26
3909,佐々木,86,23,40,53,0.267442,0.465116,0.616279,,2026-04-26
3910,松下,75,9,15,25,0.120000,0.200000,0.333333,,2026-04-28
